,drug,count
11100,ingenol mebutate gel 0.05 %,1
11101,targeted email,1
11102,mpmri with targeted biopsy,1
11103,azd1775 matching placebo,1
11104,high heme iron diet,1
11105,"in-depth, semi-structured interviews",1
11106,my journey ahead,1
11107,topical phenylephrine solution,1
11108,two injections into the celiac ganglion,1
11109,f-fmiso pet/ct scan,1
11110,ep,1
11111,shape (shp-141) 0.1% bid,1
11112,r-chop/chope or abvd chemotherapy regimen,1
11113,bay1841788 (darolutamide),1
11114,palliative re-irradiation for progressive dipg in children,1
11115,vats with chest tube placement,1
11116,gene mutations analysis and fish,1
11117,loco-regional anaesthesia,1
11118,ly2334737,1
11119,autologous ebv-ctl transduced with vector sfg-cna12,1
11120,adjuvant chemotherapy (gemcitabine and cisplatin),1
11121,assessment of nutritional status,1
11122,til administration,1
11123,integrated staging for early detection of metastases in lung cancer,1
11124,evolution® esophageal stent - fully covered,1
11125,fexofenadine,1
11126,docetaxel (t) + bevacizumab,1
11127,transrectal apt device or transperineal device will be used,1
11128,patient activation and education (pae),1
11129,"holter monitor - medilog ar12 (oxford instruments, oxford, england)",1
11130,eligard 45 mg exposure,1
11131,"her-2-neu, cea peptides, gm-csf, montanide isa-51 vaccine",1
11132,inj.cisplatin,1
11133,eoi,1
11134,ehealth for sedentary behavior,1
11135,oat bran and blueberry husks,1
11136,sf6,1
11137,keppra,1
11138,gamma-delta tocotrienol and tocotrienol rich fraction,1
11139,ethyol (drug),1
11140,propofol general anesthesia,1
11141,microscope,1
11142,bmt legal clinic,1
11143,gsk2110183 gelatin capsule,1
11144,habit development intervention,1
11145,focal cryoablation,1
11146,punction of v. subclavia,1
11147,ebv-specific t cells,1
11148,decision-aid,1
11149,"sol(the combination therapy of s-1, leucovorin, and oxaliplatin)",1
11150,fluourouracil,1
11151,"neoadjuvant gemcitabine, capecitabine, and docetaxel",1
11152,erector spinae plane block (group a) and thoracal paravertebral block (group b),1
11153,cbp501,1
11154,rituxan (rituximab),1
11155,anxiety self-management techniques,1
11156,"leukocyte interleukin, injection",1
11157,ccrt+ pf,1
11158,transamin,1
11159,cat-8015 60 mcg/kg,1
11160,"mesothelin, hyaluronan, osteopontin, syndecan-1",1
11161,"ugtia1 genotyping (7,7)",1
11162,som230 s.c.,1
11163,microgynon,1
11164,anticancer medication a01; immune cells ic01,1
11165,"gemcitabine, docetaxel, capecitabine",1
11166,ba duan jin,1
11167,transthoracic ultrasound,1
11168,atezolizumab (anti-pd-l1),1
11169,average score of obesity and weight-loss quality of life questionnaire,1
11170,532 nm q-switched nd:yag laser,1
11171,30-second chair stand,1
11172,sir-sphere radioembolization,1
11173,mal,1
11174,i-125 versus pd-103 radioactive seed insertion,1
11175,elsamitrucin,1
11176,bupicavaine 0.125% epidural solution,1
11177,treatment with vismodegib,1
11178,short-turn radius colonoscope,1
11179,uterine lavage,1
11180,lletz without colposcopy,1
11181,ltm - a porcine-based surgical mesh,1
11182,som230 lar 30 mg,1
11183,chemoradiotherapy arm,1
11184,"irinotecan, cisplatin, gemcitabine, pemetrexed, docetaxel",1
11185,glizigen® + ocoxin-viusid®,1
11186,polyphenon e (veregen) 15% ointment,1
11187,tpf+imrt,1
11188,green tea beverage with defined catechin content,1
11189,extraction genomic dna,1
11190,conventional fractionation (2 gy per day) external beam radiation therapy,1
11191,hepatobiliary iminodiacetic acid (hida) scan,1
11192,combined strength training and functional endurance exercise,1
11193,immu-132 infusion is administered to participants in one arm for the study,1
11194,study assessments,1
11195,pecs ii and parasternal blocks,1
11196,cryotherapy with liquid nitrogen,1
11197,vascana (0.9% nitroglycerin cream),1
11198,neoadjuvant bevacizumab,1
11199,core needle trus needle biopsy (transrectal ultrasound),1
11200,sleep apnea screening with apnealinktm,1
11201,gemcitabine - trastuzumab - erlotinib,1
11202,18f-psma,1
11203,interviews - colorectal cancer participants,1
11204,research brain mri,1
11205,r2*-ute,1
11206,usual care outreach for colon cancer screening,1
11207,device: 20g fnb needle,1
11208,human papilloma virus test from the vaginal vault,1
11209,nov-002 injection in combination with carboplatin vs. paclitaxel and carboplatin,1
11210,incision and curettage,1
11211,pemetrexed - after protocol amendment,1
11212,lwh film,1
11213,inosine pranobex,1
11214,erlotinib with cetuximab,1
11215,imiquimod 5 % cream,1
11216,the first booster vaccine phase:,1
11217,3t mri scanning,1
11218,experimental drug: dexamethasone,1
11219,clinimacs cd25 microbeads and cell sorter,1
11220,klh + gm-csf,1
11221,hd il2,1
11222,tumor markers,1
11223,macrobiotic dietary intervention,1
11224,targeted therapy based on molecular profiling : everolimus,1
11225,liposomal cisplatin,1
11226,positron emission tomography pet/ct,1
11227,biodegradable balloon implant,1
11228,ringer's acetate,1
11229,partial breast irradiation using 40 gy /10 fractions,1
11230,stro-002,1
11231,top concern tailored intervention,1
11232,monoclonal antibody cd19,1
11233,mg7-cart,1
11234,bibf 1120 plus docetaxel,1
11235,sentinel lymph node sampling,1
11236,id-lv305,1
11237,molecular profiling & in vivo drug testing in ppdx and organoid cultures,1
11238,17% salicylate with ethyl pyruvate,1
11239,5-fu 1000 mg/m^2/day,1
11240,cart-19/bcma,1
11241,abb-r-chop,1
11242,radical pleurectomy,1
11243,empegfilrastim 7.5 mg,1
11244,no break,1
11245,social media message about hpv and hpv vaccine,1
11246,there is no intervention - this is an observational study,1
11247,imrt-sib plus sequential ig-rt boost,1
11248,car2 anti-cea car-t cells,1
11249,intra-lesional vaccine administration,1
11250,special diet therapy (usda control),1
11251,"docetaxel,0xaliplatin,capecitabine",1
11252,eabr,1
11253,digital stories intervention,1
11254,cyclical follow up,1
11255,docetaxel - dose b,1
11256,mr-guided high intensity focused ultrasound,1
11257,5-ala-guided surgery,1
11258,novalis shaped beam surgery,1
11259,invitation to educational meeting,1
11260,contact thermographic breast examination device,1
11261,nivolumab 10 mg/ml [opdivo],1
11262,medex,1
11263,25mg cephadol@ (diphenidol),1
11264,fleet,1
11265,eus-fnb with 20-gauge procore® needle,1
11266,tc+spio,1
11267,physical activity program and prevention after cancer,1
11268,tailored message,1
11269,teaching using traditional method,1
11270,personalized dose redistribution,1
11271,abscess de-roofing and curettage,1
11272,oncometabolic reconstruction,1
11273,halflytely,1
11274,cyproterone acetate 5,1
11275,kb004,1
11276,paclitaxel 175mg/m² q21d,1
11277,video assited thoracic surgery,1
11278,decitabine and genistein,1
11279,pn+,1
11280,epidural pca ropivacaine,1
11281,transoral surgery (tos) + neck dissection,1
11282,"ixazomib 4.0 mg, lenalidomide 25 mg, dexamethasone 40 mg",1
11283,toga tools,1
11284,peripheral and bone marrow sampling,1
11285,myeloablative double unit cord blood transplantation,1
11286,integrated care programmes,1
11287,hematopoietic stem cell microtransplantation-short-term,1
11288,psychoeducational,1
11289,fluorouracil (5fu),1
11290,dendritic cell vaccine plus temozolomide chemotherapy,1
11291,sbrt or rfa,1
11292,patient control analgesia (pca) morphine,1
11293,non exposed,1
11294,endurance,1
11295,faza,1
11296,daily dosing,1
11297,mist humidifier,1
11298,"comparator: mk0752, notch inhibitor - 3 days on, 4 off",1
11299,octreotide lar depot,1
11300,recombinant human arginase 1 peg5000,1
11301,steel,1
11302,discussion group,1
11303,consolidation treatment part 1: hd-chemotherapy with asct,1
11304,tmz 200mg/m2,1
11305,phosphate orally,1
11306,treatment with wst09 vascular photodynamic therapy,1
11307,group b - device guided breathing high dose,1
11308,tubal ligation group ii,1
11309,standard external beam radiation therapy,1
11310,biphosphonates,1
11311,co2 use in colonoscopy,1
11312,conformal intensity modulated radiotherapy (imrt),1
11313,sentimag probe,1
11314,partial breast irradiation using 32 gy / 8 fractions,1
11315,aflibercept + mlv5fu2,1
11316,bibf 1120 low dose,1
11317,standard-of-care radiation,1
11318,15 o water,1
11319,proxiscan device,1
11320,ptk787 and pemetrexed with or without cisplatin,1
11321,fermented wheat germ extract (fwge),1
11322,sarcopenia and mobility measurement,1
11323,pegifn-2b,1
11324,radioembolization (sirt),1
11325,"dasatinib, mitoxantrone, cytarabine",1
11326,histology,1
11327,pde-neo ii camera,1
11328,electrodessication & curettage,1
11329,communication aids,1
11330,surgery: gs strategy,1
11331,bkm120-cis,1
11332,reirradiation with concomitant chemotherapy,1
11333,nissen,1
11334,asp8273 capsules,1
11335,bead + dox arm,1
11336,regorafenib/active,1
11337,application of a hemostatic gelatin-thrombin matrix,1
11338,spranc block group,1
11339,virtual chromo-endoscopy using fice fujifilm technology,1
11340,octreotide lar 30mg,1
11341,rmc-4630,1
11342,secretin (human synthetic) - chirhoclin,1
11343,pet imaging with [18f]-flt,1
11344,micrornas,1
11345,biafine cream,1
11346,ultrasound-guided fine needle aspiration biopsy,1
11347,"sevoflurane, rocuronium",1
11348,hspe7 and poly-iclc,1
11349,iodopovidine,1
11350,confocal micro endoscopy,1
11351,nanodoce (direct injection),1
11352,abl001 + nilotinib,1
11353,il-2 plus anti-tnf or thalidomide,1
11354,abp 980,1
11355,adm plus ifo or ifo alone,1
11356,eso,1
11357,chemotherapy (control),1
11358,5-fu based radio-chemotherapy,1
11359,cytotoxic t lymphocytes,1
11360,hemigland cryoablation,1
11361,shenqifuzheng,1
11362,denosumab injection,1
11363,oral decitabine,1
11364,mindfulness-based cognitive therapy (mbct),1
11365,meda,1
11366,azd1775 only,1
11367,"intron a, interferon alpha -2b",1
11368,magnesia,1
11369,health status questionnaire,1
11370,histopathological analysis,1
11371,robotic transperineal biopsy,1
11372,no sympathetic response,1
11373,usual care exercise referral scheme,1
11374,guided injection of triamcinolone,1
11375,mfolfox6 or capecitabine,1
11376,cardiac spect perfusion scan,1
11377,conventional radiotherapy 70 gy in 7 weeks,1
11378,tak-165,1
11379,key hole biopsy ( khb),1
11380,goat milk,1
11381,heat shock protein 70-peptide complexes (hsp70),1
11382,axon flares,1
11383,"""low touch"" implementation strategy",1
11384,neo-urinary conduit,1
11385,nk cell enriched-dli only,1
11386,dna and tissue microarray analysis,1
11387,brief behavioral treatment for insomnia and bright light,1
11388,bms-986310,1
11389,transarterial chemo-embolization using irinotecan drug-eluted beads ((debiri-)tace),1
11390,option of sma and desi or desi only,1
11391,blood test/ additional measurement,1
11392,salicylic acid,1
11393,quantitative sensory tests (qst),1
11394,snx-5422 mesylate hsp90 inhibitor,1
11395,collection of serum and saliva samples,1
11396,stress-management training,1
11397,protocol,1
11398,symptom management group,1
11399,fluphenazine hcl,1
11400,rituximab - cvp,1
11401,integrated molecular analysis,1
11402,kyphoplasty/vertebral augmentation (device-stabilit),1
11403,gdc-0927,1
11404,vaccine + polyiclc,1
11405,"su011248, sutent",1
11406,cognitive behavioral training,1
11407,dendritic cell tumor fusion,1
11408,delphi screener,1
11409,immediate acupuncture group,1
11410,spontaneous ventilation,1
11411,cardiac magnetic resonance scan,1
11412,surgery (wide local excision; limb preservation surgery),1
11413,brilacidin,1
11414,not interventional study,1
11415,project onward website + 16 person social network,1
11416,esophagectomy or gastrectomy,1
11417,velcade subcutaneous melphalan prednisone,1
11418,prostate cancer education,1
11419,ttc-352,1
11420,vnp20009,1
11421,2-deoxy-d-glucose (2dg),1
11422,tandem 3 cycle intensive chemotherapy,1
11423,"lumpectomy, axillary block dissection, breast conserving surgery",1
11424,cervical motor control,1
11425,robotic partial surgery,1
11426,support device for prone radiation therapy (giro-couch),1
11427,cathiporttm,1
11428,luma cervical imaging system,1
11429,extended pap,1
11430,arsenic trioxide tace,1
11431,paced respiration,1
11432,monofer(r),1
11433,"shared video consultation between patient, general practitioner and oncologist",1
11434,i125 radioactive plaques (local treatment),1
11435,225ac?j591,1
11436,vbi-1901,1
11437,wt-1,1
11438,imatinib mesylate (sti571),1
11439,continuous thoracic epidural analgesia,1
11440,"ct, pet and mri",1
11441,amg 596,1
11442,step up to prevention: knowledge,1
11443,su101,1
11444,purine/folic acid analogues,1
11445,epirubicin plus cyclophosphamide,1
11446,young women's intervention (ywi),1
11447,colon cancer screening navigation,1
11448,abl001+dasatinib,1
11449,neuropsychological examination,1
11450,pulse pressure variation guided fluid therapy,1
11451,minimally invasive surgery,1
11452,transversus abdominis-plane block with local anesthetic 20 ml of bupivacaine 0.5% + 10 mg morphine,1
11453,palliative radiation,1
11454,transient elastography,1
11455,2d,1
11456,oratest,1
11457,mocetinostat plus brentuximab vedotin,1
11458,low-dose-bevacizumab/pemetrexed,1
11459,uld il-2,1
11460,monopolar electrocautery loop in transurethral resection of bladder tumors,1
11461,syntocinon,1
11462,mechlorethamine hydrochloride gel,1
11463,bevacizumab and irinotecan and radiotherapy,1
11464,flap transposition procedures,1
11465,norethindrone/ethinyl estradiol,1
11466,lmp2-specific cytotoxic t-lymphocytes,1
11467,dna integrity index,1
11468,tace containing placebo,1
11469,maekmoondong-tang,1
11470,mri with eovist contrast,1
11471,radiation therapy with concurrent paclitaxel,1
11472,conventionnal chemotherapy,1
11473,ro7123520,1
11474,central biobanking,1
11475,four conversations,1
11476,lumen apposing metal stent (lams),1
11477,triptorelin (decapeptyl®) - treatment 8 months (pivotal study) followed by a treatment extension of 8 months (extension study),1
11478,crlm resection group,1
11479,hypofractionated 12x3 gy + integrated boost 12x4 gy,1
11480,"projective methods (thematic apperception test, rorschach)",1
11481,cediranib and olaparib,1
11482,post-operative chemoradiotherapy / accelerated radiotherapy,1
11483,informed consent follow-up visit,1
11484,bibf 1120 es high dose,1
11485,"capecitabine, cisplatin, sorafenib",1
11486,bortezomib (b),1
11487,soybean oil soft gel,1
11488,quality of life questionnaire eortc qlo - h&n35,1
11489,uterine embolization,1
11490,sentimark,1
11491,"target drug with the score equal or below 0,1",1
11492,celecoxib 400 mg,1
11493,torisel dose 15 mg and r-fc,1
11494,"risk-based, escalating levels of monitoring",1
11495,dexamethasone (standard retreatment),1
11496,dss,1
11497,near infra red sentinel node biopsy,1
11498,dim pills,1
11499,miltenyi clinimacs,1
11500,pelvic floor exercise,1
11501,cd+8 t cell depletion,1
11502,granisetron transdermal patch,1
11503,gmcsf,1
11504,characterise the molecular epidemiology of lung adenocarcinoma in multi-ethnic asian phenotypes,1
11505,fluorine f 18-clevudine,1
11506,lite website - lite version of smokefree.gov,1
11507,lci/bli then white endoscopy,1
11508,head and neck,1
11509,regulatory t-cells,1
11510,bep(500),1
11511,paclitaxel+initial radiation+boost,1
11512,mlc tracking,1
11513,2d laparoscopy,1
11514,global fibroid ablation,1
11515,chemotherapy or endocrine therapy or trastuzumab therapy,1
11516,jcar015 (cd19-targeted car t cells),1
11517,dex2,1
11518,abraxane and gemcitabine,1
11519,assess patient pain intensity postoperatively,1
11520,1 tablet composed of antioxidants and minerals,1
11521,orteronel 300mg bid,1
11522,education and general exercise,1
11523,lightpath® imaging system.,1
11524,citarinostat,1
11525,egm,1
11526,naf pet/ct imaging,1
11527,"gemcitabine, docetaxel, 5fu, oxaliplatin",1
11528,post-radiation therapy temozolomide,1
11529,postpartum follow up appointment 2-3 weeks after delivery,1
11530,cbbct,1
11531,percutaneous nerve evaluation,1
11532,lenalidomide oral capsule,1
11533,soludomerin,1
11534,"e0651 pcd with sequential, non-gradient waveform",1
11535,radical proctectomy with total mesorectal excision,1
11536,personal resilience empowerment program including 5 sessions with health coaches,1
11537,ff-10502-01,1
11538,standard wb fractionation+boost,1
11539,ipad activity control group,1
11540,2-dimensional mammogram,1
11541,remove the tube ileostomy,1
11542,immunotherapeutic sb719125 (primary),1
11543,ketamine and bupivacaine injection,1
11544,cortrosyn,1
11545,the fec75 and 95 regimen,1
11546,cnto888 + gemcitabine,1
11547,peripheral nerve stimulation,1
11548,framed hpv vaccination messages,1
11549,second test: transvaginal ultrasound,1
11550,culturally-targeted fear appeal message,1
11551,vioxx,1
11552,"lenalidomide, bendamustine, prednisone",1
11553,ethinylestradiol and cyproterone acetate,1
11554,metronidazole actavis,1
11555,spatially registered endoscopy,1
11556,anti-androgen therapy: bicalutamide,1
11557,"bevacizumab, oxaliplatin, pemetrexed",1
11558,exercise counseling (behavior change techniques),1
11559,nilotinib (400 mg bid),1
11560,oprelvekin,1
11561,fit outreach,1
11562,pet scan after treatment,1
11563,lifestyle questionnaires,1
11564,fulfillment of a preventive programme,1
11565,transarterial chemoembolization using drug-eluting beads,1
11566,naf pet/ct,1
11567,nir imaging system,1
11568,conventional technique,1
11569,standard dose vitamin d3,1
11570,gsk2118436 75mg,1
11571,no preparation bowel,1
11572,eus-guided ethanol ablation,1
11573,enzalutamide tablet,1
11574,almonds,1
11575,sheng bai oral liquid,1
11576,disposable negative wound pressure device (pico),1
11577,"nivolumab 3mg/kg, ipilimumab 1mg/kg",1
11578,durvalumab; medi4736,1
11579,placebo mouthrinse,1
11580,bispecific antibody and di-dtpa-131i,1
11581,mind-body exercises,1
11582,natulan,1
11583,placebo (for enzalutamide),1
11584,"lenalidomide, rituximab, and cyclophosphamide",1
11585,vitablue™,1
11586,chemotherapy+surgery,1
11587,60?g hpv,1
11588,"avastin, docetaxel, carboplatin",1
11589,molecular genetic analysis,1
11590,sodium acetate c11 pet/ct imaging,1
11591,gsk3174998 iv infusion,1
11592,t-rapa cell donor lymphocyte infusion (dli),1
11593,acide zoledronique medac,1
11594,sotatercept 0.3 mg/kg,1
11595,snap® wound care system,1
11596,sor007 (uncoated nanoparticle paclitaxel) ointment,1
11597,bendamustine and subcutaneous rituximab,1
11598,"the arachidonic acid and egfr signaling pathways and their interaction in hnscc tumorigenesis,",1
11599,18f-al-nota-matbbn pet/ct,1
11600,intraductal arm,1
11601,new investigational curved paddle,1
11602,percutaneous placement of device in the liver,1
11603,ckm,1
11604,omega-3 supplementation,1
11605,geriatric assessment and no call from nurse,1
11606,actr707,1
11607,folfox plus bevacizumab and reolysin,1
11608,amg 397,1
11609,oral antibiotics cefdinir or trimethoprim/sulfamethoxazole,1
11610,cgc-11047 and sunitinib,1
11611,"custirsen, paclitaxel and carboplatin",1
11612,postoperative tace,1
11613,blood test 48hours,1
11614,"moxr0916, a humanized agonist anti-ox40 monoclonal antibody",1
11615,cct3833,1
11616,closure of the pelvic peritoneum,1
11617,electrical impedance scanning (eis) of the thyroid gland,1
11618,ultrasound scan of the pancreas,1
11619,imaging study (fdg-pet/ct scan),1
11620,"docetaxel, oxaliplatin, capecitabine",1
11621,adjuvant hipec (open/laparoscopic),1
11622,percutaneous celiac plexus neurolysis,1
11623,oocyte retrieval,1
11624,cohort 2 ctap101 capsules - 30µg,1
11625,methotrexate/hydrocortisone,1
11626,histological examination of surgical specimen,1
11627,patient activation,1
11628,"radical prostatectomy with urethral irrigation but no fascial suturing, qol forms",1
11629,manual imaging fusion of ultrasonography and mri,1
11630,no-transfuse,1
11631,3d roadmap software,1
11632,"asa404, dmxaa, dxaa",1
11633,"mva-fcu1, flucytosine",1
11634,toremifene; anastrozole,1
11635,seldi-tof ms for plasmatic proteic profile,1
11636,vinorelbine oral formulation,1
11637,apatinib 250mg,1
11638,doppler evaluation,1
11639,sn-38 liposome,1
11640,postoperative chemoradiotherapy,1
11641,131i- mibg,1
11642,current initial staging protocols,1
11643,sexual rehabilitation programme,1
11644,onco geriatric evaluation,1
11645,part 3: pt2385 tablets in combination with cabozantinib,1
11646,bevacizumab-pfizer,1
11647,ctnx-4975,1
11648,s-1 (tegafur/gimeracil/oteracil) /cisplatin (investigational arm),1
11649,sub-tenon triamcinolone 40mg,1
11650,pegylated formula interferon-alpha 2b,1
11651,cessation of acid suppressing medications,1
11652,e7016 + tmz,1
11653,stenting with ptfe-coated stent (hilzo),1
11654,"fasting blood draw, measurement of height, weight and waist circumference, and blood pressure",1
11655,endoscopic ultrasound (including fine needle aspiration),1
11656,modified bone marrow stem cell transplantation,1
11657,plm60,1
11658,dre-endoscopy-mri-cea,1
11659,liquid-pap smear,1
11660,risk primer,1
11661,0.04% mechlorethamine gel,1
11662,identifying genes methylated in urine,1
11663,haplo hct ?55 years old,1
11664,peripheral blood stem cell (pbsc) transplantation,1
11665,tc99m-tilmanocept,1
11666,tcr?/?+,1
11667,total intravenous anesthesia (tiva),1
11668,intra-operative radiation,1
11669,antigen-specific igt cells,1
11670,5 - fluorouracil,1
11671,metvix pdt,1
11672,intraoperative radiotherapy (applicator surface dose: 20-40 gy),1
11673,dasatinib (sprycel®),1
11674,lu-177 dota-tate,1
11675,"gastroscopes (pentax, tokyo, japan)",1
11676,language paradigms + rs fmri + one anatomical sequence,1
11677,docetaxel + s-1,1
11678,fentanyl transdermal,1
11679,psychological therapy,1
11680,treatment g,1
11681,nc 6300,1
11682,bone marrow biopsy & aspirate,1
11683,gynecologic surgery - robot assisted coelioscopy,1
11684,astx660,1
11685,treatment of metastatic disease,1
11686,cg 8020 and cg 2505,1
11687,accept reversal operation,1
11688,[14c] th-302 (label 1),1
11689,low dose dfd07 once daily,1
11690,ri8 device imaging,1
11691,mysmartcheck,1
11692,investigational software and coils in pet/mr scan,1
11693,not relevant (there is no intervention in the present study),1
11694,ptc+pertuzumab,1
11695,a low ligation of ima,1
11696,lenalidomide plus low-dose dexamethasone given for 18 four-week cycles,1
11697,active measures of lifestyle modification,1
11698,torisel dose 75 mg and r-fc,1
11699,transvaginal colposcope,1
11700,neoadjuvant short-course photon radiation,1
11701,cetuximab with irinotecan,1
11702,run-in (short pre-surgery course) of endocrine-targeted therapy,1
11703,rh il-2,1
11704,cisplatin plus paclitaxel,1
11705,vaccinium myrtillus/macleaya cordata/echinacea angustifolia extract granules,1
11706,usual care and health education workshop,1
11707,iv zometa,1
11708,anesthetist-controlled sedation/analgesia,1
11709,pcrt,1
11710,thermal ablation with external beam radiation,1
11711,only withdrawal,1
11712,oxygenesys dissolved oxygen dressing,1
11713,pressure controlled ventilation,1
11714,chemotherapy with eribulin,1
11715,wound catheter,1
11716,oral veledimex,1
11717,zd9393 (zoladex) 10.8 mg,1
11718,provider continuity: specific surgeons responsible for coordinating care with medical/radiation oncology,1
11719,flac with gm-csf,1
11720,group a: closed-face shell,1
11721,nir,1
11722,gsk3377794 (ny-eso-1?²?? t),1
11723,daclatasvir,1
11724,mris with and without intravenous contrast (up to 2),1
11725,induction treatment part 1,1
11726,stereotactic radiotherapy(sbrt),1
11727,temozolomide (for newly diagnosed malignant glioma),1
11728,vb10.16 immunotherapy (dna vaccine),1
11729,arq 501 in combination with gemcitabine,1
11730,docetaxel plus selumetinib,1
11731,gelatine,1
11732,placebo (unspecified),1
11733,"ocz103-os [pentamidine bis(2-hydroxyethanesulfonate)], mfolfox6 or folfiri",1
11734,jnj-63709178,1
11735,computerized cognitive behavior therapy,1
11736,gemcitabine plus carboplatin plus bsi-201,1
11737,pancreatic cancer screening pathway 2,1
11738,methylaminolevulinate hydrochloride,1
11739,panobinostat and bortezomib,1
11740,bcnu 80mg/m2,1
11741,sentinel breastscan ii,1
11742,tg-1701,1
11743,microbiome under chemotherapy,1
11744,hbo,1
11745,standard of care counseling,1
11746,pf-04554878,1
11747,educational intervention to enhance the adherence of patient treated by capecitabine +/- lapatinib,1
11748,blood specimens,1
11749,docetaxel plus doxercalciferol,1
11750,core needle mri/us image fusion guided needle biopsy,1
11751,arm 2 - magnevist,1
11752,bortezomib (velcade ®),1
11753,donor lymphocytes infusion (dli),1
11754,homoeopathic remedies,1
11755,confocal laser endomicroscope,1
11756,cone-beam ct,1
11757,tocotrienol rich fraction (trf),1
11758,plasmapheresis,1
11759,colon imaging study,1
11760,single-port lavh,1
11761,dietary modification,1
11762,bmi-1 antibody,1
11763,birth control plus brevail,1
11764,arm b: folfiri or folfox,1
11765,neupogen injectable product,1
11766,eye001,1
11767,"suberoylanilide hydroxamic acid (saha, vorinostat)",1
11768,pet imaging using 124 ipuh71,1
11769,ipec with cisplatin (75mg/m²),1
11770,family eats,1
11771,quadrant parotidectomy,1
11772,"consultation, evaluation questionnaire",1
11773,35 mcg ethinylestradiol/2 mg cyproterone and selmevit,1
11774,gpi 1485,1
11775,bipolar vessel sealing and cutting device,1
11776,cardiovascular screening,1
11777,tele-cp,1
11778,methotrexate 1500mg/m2,1
11779,combined nursing invention,1
11780,a 24 week center-based structured exercise and education program,1
11781,apatinib+capecitabine,1
11782,respiragene test and risk score,1
11783,gsk3052230,1
11784,dc/aml fusion vaccine,1
11785,bone metastases pain treatment,1
11786,"cryotherapy, further biopsy, leep, surgery as indicated",1
11787,once-weekly breast irradiation,1
11788,vinorelbine cisplatin radiotherapy,1
11789,brivanib + cetuximab,1
11790,kidney transplanted patients,1
11791,pmi-150 (intranasal ketamine),1
11792,"docetaxel,doxorubicin, cyclophosphamide",1
11793,qbx258,1
11794,"pv-10 (rose bengal disodium, 10%)",1
11795,androgen ablation,1
11796,modified method of digestive tract reconstruction,1
11797,rx-0201,1
11798,medi4736 in combination with azd5069,1
11799,fluzoparib capsules,1
11800,hypoxia measurement,1
11801,anti-pd-1 monoclonal antibody,1
11802,fine needle aspiration of the lung,1
11803,5- fluorouracil,1
11804,mood questionnaires,1
11805,genesis and gemini,1
11806,"bevacizumab, docetaxel, cisplatin",1
11807,hyperthermia with concurrent chemo-radiation therapy,1
11808,thermic destruction of tissue by laser using the novilase device,1
11809,sonablate 500 (sb-500),1
11810,rhg-csf regimen,1
11811,gcsf (granulocyte colony stimulating factor),1
11812,vitaltape® bandage,1
11813,annual ct screening,1
11814,diprosone,1
11815,moxtezafin gadolinium,1
11816,standard telephone counseling,1
11817,pd 0360324,1
11818,enlighttm,1
11819,arm ii soy-almond bread,1
11820,"webinar, promotion, and tool access",1
11821,local excision in good responders,1
11822,normal invitation,1
11823,pirarubicin 50mg/m2,1
11824,carboplatin + irinotecan,1
11825,ign523,1
11826,adecatumumab,1
11827,ny-eso-1 iscomatrix® vaccine,1
11828,medi9197,1
11829,bmk120,1
11830,holmium-166-poly (l-lactic acid) microspheres,1
11831,prevnar,1
11832,clip closure,1
11833,augmented autologous stem cell transplant (asct-aug),1
11834,modified fast,1
11835,injection of 99m-tc-nm-01,1
11836,study of the occurrence of carcinoid heart disease,1
11837,clag regimen,1
11838,19.2 mg/kg ?-tea,1
11839,bevacizumab and trabectedin,1
11840,imrt/impt,1
11841,no included anl,1
11842,remicade,1
11843,aminolevulinic acid topical 20% topical solution,1
11844,enterography-mri without enteroclysis,1
11845,moderate-intensity and low-intensity bodywork therapy,1
11846,4scar19 and 4scar38,1
11847,genexol-pm/gemcitabine,1
11848,cis-retinoic acid,1
11849,anesthesia before transurethral resection of the bladder tumor,1
11850,surface imaging,1
11851,dexamethasone 20mg,1
11852,carboplatin/etoposide,1
11853,astx029,1
11854,surgical fixation of fractures,1
11855,4 x 4 lifestyle modification,1
11856,tocilizumab (actemra or roactemra),1
11857,haploidentical stem cell transplantation and nk cell therapy,1
11858,autologous genetically modified mage-a4?¹º³²t cells,1
11859,multi-port,1
11860,dti-015,1
11861,combined surgery and radiation therapy,1
11862,18f-fmiso pet scan,1
11863,gardasil ® (merck & co. inc),1
11864,pegylated l-asparaginase,1
11865,stage 4: glucocorticoid,1
11866,ms-20,1
11867,axitinib + paclitaxel + carboplatin (cohort 3),1
11868,pyrotinib/pyrotinib with docetaxel,1
11869,conventionally fractionated prostate radiotherapy,1
11870,specific risk factors related to hepatocellular carcinoma,1
11871,mastectomy (recommended but not mandatory),1
11872,sc-002,1
11873,endoscopic ultrasound guided biliary drainage,1
11874,pet/ct 20 days after the first cycle of chemotherapy,1
11875,"checklist, mychart, opennotes",1
11876,mode of relapse detection,1
11877,intravesical 2000mg/52.6ml gemcitabine instillation,1
11878,"tailored, interactive intervention for mammography screening",1
11879,13-c-glucose,1
11880,the new model of haplo-hsct for r/r b-all,1
11881,rfsh,1
11882,dimesna,1
11883,cytarabine(actavis italy s.p.a),1
11884,dcf (docetaxel with cisplatin with 5-fu),1
11885,epirubicin - cyclophosphamide / docetaxel + bevacizumab,1
11886,folfox plus bevacizumab,1
11887,imnovid (pomalidomide),1
11888,gp100 human melanoma peptide,1
11889,2.pushing the stylet or injecting air,1
